City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
177,Aleksinac,RS,43.5417,21.7078,64.96,94,100,3.42,overcast clouds
178,Aviles,ES,43.5547,-5.9248,66.92,85,75,3.44,broken clouds
179,Sitka,US,57.0531,-135.33,52.54,77,94,7.43,light rain
180,Fortuna,US,40.5982,-124.1573,55.74,42,100,5.55,overcast clouds
181,Tooele,US,40.5308,-112.2983,66.24,51,0,6.91,clear sky
182,Ahipara,NZ,-35.1667,173.1667,59.02,94,99,6.96,overcast clouds
183,Albany,US,42.6001,-73.9662,62.92,58,98,2.55,overcast clouds
184,Praia Da Vitoria,PT,38.7333,-27.0667,73.76,78,20,17.36,few clouds
185,Huaihua,CN,27.5494,109.9592,75.25,82,37,4.36,scattered clouds
186,Katsuura,JP,35.1333,140.3,69.98,83,9,11.03,clear sky
187,Clyde,US,41.3042,-82.9752,64.9,60,100,15.7,overcast clouds
188,Killybegs,IE,54.6333,-8.45,55.11,74,18,20.69,few clouds
189,Maloy,NO,61.9353,5.1136,52.74,51,22,13.94,few clouds
190,Iqaluit,CA,63.7506,-68.5145,33.53,69,75,26.46,broken clouds
191,Quelimane,MZ,-17.8786,36.8883,75.15,88,0,7.0,clear sky
192,Meulaboh,ID,4.1363,96.1285,77.65,85,100,7.76,overcast clouds
193,Vila Velha,BR,-20.3297,-40.2925,76.95,75,40,10.36,scattered clouds
194,La Rioja,ES,42.25,-2.5,58.78,61,18,6.51,few clouds
195,Ahuimanu,US,21.4447,-157.8378,83.17,71,40,6.91,scattered clouds
196,Lorengau,PG,-2.0226,147.2712,80.94,79,21,10.07,few clouds
197,Coihaique,CL,-45.5752,-72.0662,58.95,33,0,4.61,clear sky
198,Stege,DK,54.987,12.2846,54.09,87,8,16.53,clear sky
199,Sakakah,SA,29.9697,40.2064,83.77,17,0,4.21,clear sky
200,Marsa Matruh,EG,31.3525,27.2453,82.6,74,0,5.75,clear sky
201,Muravlenko,RU,63.7898,74.523,27.72,71,31,12.06,scattered clouds
202,Sorland,NO,67.667,12.6934,51.66,68,100,12.88,overcast clouds
203,Bodden Town,KY,19.2833,-81.25,87.8,58,20,11.5,few clouds
204,Rubizhne,UA,49.0123,38.3797,68.61,58,100,7.14,overcast clouds
205,Crossville,US,35.949,-85.0269,65.08,66,75,12.66,broken clouds
206,Lamar,US,33.6668,-95.5836,85.98,29,0,5.97,clear sky
207,Yar-Sale,RU,66.8333,70.8333,32.49,72,99,13.8,overcast clouds
208,Gigmoto,PH,13.7796,124.39,81.34,85,95,11.59,overcast clouds
209,Salinas,US,36.6777,-121.6555,63.48,81,100,9.22,overcast clouds
210,San Cristobal,VE,7.7669,-72.225,84.38,51,36,10.11,scattered clouds
211,Trairi,BR,-3.2778,-39.2689,82.49,63,21,16.24,few clouds
212,Touros,BR,-5.1989,-35.4608,80.96,65,20,17.74,few clouds
213,Kumba,CM,4.6363,9.4469,72.14,98,100,1.48,light rain
214,Kameshkovo,RU,56.3481,41.0047,53.98,98,83,5.61,broken clouds
